#	2020-11-26

+++	SCHOOLYEAR	2016
+++	CLASS	10

SID	SUBJECT	TIDS	FLAGS	SGROUPS
De	Deutsch	BW		V
En	Englisch	BD MF		V
Fr	Französisch	AFM		V
Ma	Mathematik	AK MT		V
Ku	Kunst			V
Mu	Musik	BS		V
Ges	Geschichte	BTH		V
Mk	Medienkunde	BTH		-
Rel	Religion	CH RW		V
Soz	Sozialkunde	TU		V
Bio	Biologie	KK		V
Ch	Chemie	KK		V
Sp	Sport	MS NW		V
AWT	Arbeit-Wirtschaft-Technik	SN		V
Eu	Eurythmie	UM	*/	K
Kge	Kunstgeschichte	BW	*Ku	K
Ktn	Kupfertreiben	SN	*Ku	K
Snt	Schnitzen	MR	*Ku	K
Web	Weben	CG	*Ku	K
pBt	Betriebspraktikum	AFM		-
